,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lesotho,84936692.0592978,81564704.25278579,96631519.26681751,146266206.88373,166711842.203337,173515973.403931,171312845.651032,224281070.504973,309270386.381069,336609821.81319,442870975.525999,449761295.54216903,412739744.94126296,421354991.567488,371069057.24026,297182853.566965,331982236.022839,444595953.897284,510622473.820277,538746603.04212,628643530.035091,699945207.989672,839531179.748114,834451285.226323,853819601.507454,955409277.698207,957092294.550784,1041532850.13583,913486187.1698891,913606666.2474641,879083948.041942,805150596.344968,748566622.41511,1104654003.97171,1406768979.48316,1559647486.98565,1628601317.7437599,1820820337.76816,1870717521.65841,1865968856.5683,2385943549.6816,2788010571.36407,2678504923.85192,2526020562.32122,2614576998.88855,2464560222.6297398,2304601353.7554,2578713330.61114,2631238866.96805
Liberia,316498842.0,333728549.0,361668613.0,422903922.0,517358584.0,621809529.0,644352164.0,720344306.0,789196247.0,909151629.0,934958356.0,1075416316.0,1115197437.0,1107343216.0,1091634773.0,1076436345.0,1057973824.0,1111321328.0,1181499306.0,1217506321.0,595204667.0,538842935.0,346067230.0,248363238.0,204698379.0,208724217.0,246814839.0,418607741.0,510980027.0,616003407.0,644944279.0,637808642.0,686682868.0,529063491.0,643917921.0,706232558.0,815419829.0,949000000.0,1101000000.0,1155000000.0,1292000000.0,1538000000.0,1734000000.0,1936000000.0,2053000000.0,2074548664.0,2140387016.0,2145368675.0,2121563931.0
Libya,3978874520.79104,4880522698.347011,5844722462.41711,8003296604.30528,14021762537.6093,13649119897.0756,17718579720.111,20809491529.531998,20537231306.5561,28332395338.4126,38185792233.8849,33436648168.5606,32845049122.4377,31794290634.2606,28934855394.3253,29887037520.3089,24319923826.6522,22642653915.4186,25559956214.4498,27057741202.5675,31088348327.8905,34409289638.626,36447724815.4509,32976898432.7429,30772527897.3083,28292444617.0693,31284185647.7194,33193980352.9677,29896770649.3088,33639771436.1479,38470506544.8843,34061327342.6491,21912650459.1507,26235922004.8155,33292748663.8984,45451480854.0929,55076733207.0905,62668056573.5751,95326564977.2952,68838153862.5281,80942419623.5859,40587263612.1977,101165620774.393,65825571414.6708,33817926824.8646,17665671751.4996,15319677667.7084,25120262050.416,34376772203.9609
Liechtenstein,110617914.5947,128776606.848077,153393255.52226,206184278.43140802,248169749.852537,285702666.08801603,322289800.189533,375994027.210311,522496381.42188895,627057634.650831,684834945.130841,608055192.3546621,628590315.881449,637894962.902172,634269483.540535,681299778.399552,1008539922.82471,1270065533.04684,1453601816.44229,1451249606.79738,1755860467.78925,1898795352.3672302,2033116060.45055,2010774074.2411802,2245567707.65358,2695245003.28761,2717995174.79632,2563442673.4421396,2742541906.01334,2946496054.00242,2747178266.77147,2755926673.44151,2973606261.3583,3396302748.11399,3820531354.95026,4046135187.77791,4424104114.5491295,5089173411.43915,5620107027.11686,4981831948.37531,5621057217.38311,6348103709.99985,6034435862.391021,6391711429.2295,6657450229.50551,6268513139.70288,6237299538.02934,6552914194.79871,6795680127.1453705
Lithuania,,,,,,,,,,,,,,,,,,,,,10239532054.8335,9984993222.85615,8041460757.59595,6896192542.864739,6355585148.4124,6702339447.44,8385253244.16,10120448561.6,11240554231.92,10973067369.68,11539409954.8,12252709664.0,14275397613.7704,18802825980.0928,22646695855.1915,26141406730.7973,30208499370.3349,39731586347.0069,47895684739.9765,37439331821.5269,37034461707.2874,43466133144.1699,42842537129.1154,46442055803.7018,48526000845.3102,41392396557.6337,43021972484.8299,47750908128.259,53455170033.5194
Luxembourg,1509194505.08273,1572374779.8083901,1968745584.38288,2701868519.4728103,3295920925.4136896,3233341025.7414,3544278835.3154798,3922813879.47765,4885067128.19085,5711530392.56465,6232160503.59693,5231751444.02192,4764381393.5045395,4683620594.17283,4594808558.10386,4738423934.394871,6921339793.8062,8614329542.38488,9750554942.56643,10391508508.2047,13229111902.5105,14321658800.1399,16066440482.8126,16486412926.6394,18326566838.8969,21588450421.6076,21776159572.902,19731654626.6273,20208677291.0124,22235282883.1557,21263498507.8477,21272228436.4346,23617403075.3014,29556185286.3086,34686789219.7948,37346465701.6366,42412135454.9437,50885522574.4641,55851755414.7434,51367448900.2891,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66103853236.7572,57744457954.7297,60691483443.1221,64181944722.7283,70919958015.5247
Madagascar,1052455078.93221,1137955987.1958199,1300600231.69839,1602075480.10588,1815059655.03238,2161066513.97095,2065269921.2327101,2232898096.63527,2527114966.5384603,3278519572.70581,3826178503.9923205,3402801414.2666698,3337802722.41684,3324506726.17556,2782443656.1040897,2747957579.40458,3818428997.8795204,3006705986.7535,2862365542.1136,2927391924.0039,3609221121.0635295,3132849595.12303,3511106556.16427,3913223831.5952797,3456058340.12633,3668341485.5748205,4637844039.52845,4116180192.22784,4339993062.03675,4320178211.63552,4501715507.96758,5258509712.924789,5104912869.56236,6354960758.50441,5066222722.77105,5849435651.12582,6402803752.85647,8524620890.887871,10725137721.5856,9616879407.57531,9982711338.11144,11551819617.6414,11578975063.8079,12423555457.0406,12522957401.025,11323020699.9213,11848613859.5254,13176313593.5419,13850654102.4463
Malawi,579154347.77757,728514492.981233,832498418.1214089,802818733.200974,991310464.828684,1107997917.54777,1211195440.74105,1456858029.71225,1714737268.74822,1840148967.3928,2236356796.1036897,2236401776.24412,2113676342.6913898,2203656462.1697,2157877490.8934197,2027757275.33932,2124237126.8897102,2218459893.3556104,2472883262.8992896,2970408322.93249,3166319964.52759,3658041857.98051,3285104232.73455,3612298980.3029704,2134243005.5612102,2473657153.76198,2974844194.05855,3140905232.3032603,3214447153.71111,3208978290.88963,3150376892.7051897,3101595761.55167,3495601872.76505,3209166776.27249,3476332983.13146,3655889845.7710705,3998016415.8483,4432937469.56764,5321011778.498,6191126454.843289,6959657611.82756,8006869626.7332,5721434506.50492,5290354704.19889,5964923299.6046,6431416116.17692,5309944188.59618,6347717478.74252,7196170816.00364
Malaysia,3864145664.81179,4244395358.1016603,5043347485.91194,7662903760.343221,9496205619.753841,9329165129.76872,11050234602.248001,13139486857.9581,16358082222.8997,21213268200.3907,24488220937.7845,25004285800.8298,26804497470.7328,30347442121.8264,33942902256.9455,31199637541.322002,27734114980.9699,32181205900.5823,35272104730.5683,38847970073.3093,44024585239.6137,49134808853.1187,59151678519.7883,66894966968.9736,74482424864.4378,88832706382.2566,100849681580.56099,100169143588.392,72175314540.5319,79148421052.6316,93789736842.1053,92783947368.4211,100845526315.789,110202368421.05301,124749473684.211,143534418452.154,162692260155.07,193549547954.75302,230811591306.52,202257458160.849,255017645207.18,297951667650.449,314443061220.138,323276281683.44104,338066202943.69104,301354735817.53,301255405902.22,318955204602.628,358579265314.931
Maldives,42386044.6405023,47250620.2553466,55149914.755462795,67753492.3645781,85789840.4798447,53772586.84329221,49094228.423092894,45748941.9708415,53448471.641107,84497035.8102218,93121868.0918042,98464067.5627105,125127146.10730802,130687388.24548799,150598986.10819098,166012979.935898,185197817.24019,184330462.10560602,219962930.93013301,247367071.65637404,280692367.063947,319007692.372716,371832351.9672,420830313.308321,464686228.858727,566346255.819881,639310370.943076,721416105.862362,766653857.264231,836422023.5344089,886230584.7918439,887119092.0935321,913325488.90625,1052121055.9375,1226829564.84375,1163362434.29687,1575200390.9375,1868383459.84375,2271646188.125,2345294878.6718802,2588176058.4375,2774350161.08776,2886163936.54304,3295009230.03126,3697353152.44811,4109416451.91715,4379134275.28546,4735999661.578071,5327444248.795521
Mali,320361766.554046,382982619.784577,433311865.827824,501934619.66830194,471052335.41047996,701262417.081361,830514629.20685,966485826.737878,1120135002.48536,1416289764.2300901,1651165521.88996,1522964933.77907,1336881878.03114,1174833086.15588,1154593401.5726,1260339166.6129198,1839026149.54349,2175594834.63295,2250413782.18372,2256731599.98553,2731729198.80328,3007865238.20317,3095266279.45693,3054980093.88259,2233404802.4676104,2836906027.91358,3147709238.45714,2871846025.69501,3275070827.27401,3439462961.7410197,2954129671.9745197,3465305960.06524,3889758003.5192704,4703504354.2817,5444474172.52809,6245031182.858001,6899799659.02429,8145694927.82916,9750823479.13045,10181021969.7705,10678749002.3437,12978107173.023,12442747022.2068,13245776665.8277,14388385464.2769,13094846463.0232,14042785809.9303,15375720392.9912,17171816572.2514
Malta,259326687.067548,273651086.141702,305226417.81518704,357467750.482202,388977555.128547,490893649.097484,546040621.180307,647014829.9993839,820889906.186628,1035623883.6120801,1293070212.34986,1286151630.3884802,1276806687.1468198,1205704765.93959,1139589885.01639,1156128127.10957,1484247591.73922,1811347622.05504,2088755531.59142,2191307089.0504103,2634681966.11725,2844523913.08105,3125571534.79561,2802097017.6138,3101327493.71573,3697323774.01778,3806171741.1998897,3776280703.39075,3975721296.37629,4093702457.7399,4053340645.3904796,4066430982.2640796,4467144086.96212,5415735009.27808,6043974062.11978,6393114586.28192,6782910541.33547,7930359348.68052,8977482099.59186,8527688581.89955,8740539199.16658,9501285999.801071,9212076248.5837,10151771609.8832,11281216999.3647,10702383506.9907,11442143872.7191,12780422053.7647,14549123369.8823
Marshall Islands,8487081.0,9202026.0,10066877.0,11715861.0,15359772.0,16847316.0,18323331.0,20398975.0,22416963.0,25784121.0,26960320.0,31309947.0,35244447.0,42139047.0,45566167.0,44289646.0,56512887.0,63572385.0,71349134.0,73478976.0,79210062.0,83278325.0,91915313.0,100390863.0,109082048.0,121354874.0,111895700.0,106300684.0,108700178.0,107988261.0,110989212.0,115229170.0,124942059.0,127248117.0,132734891.0,140281060.0,146681720.0,154262929.0,155265593.0,154871669.0,168313431.0,175544691.0,186607377.0,192305672.0,185153948.0,181462050.0,197816344.0,207749821.0,214194504.0
Mauritania,416479652.969819,446558779.750338,521865799.93260896,591692654.019576,750312108.325374,975497846.5226859,1093111723.89414,1119561791.5914,1101625925.58895,1372588305.06074,1692862054.2660801,1827892238.8749897,1682774422.29126,1710499456.83785,1487970071.32455,1394879923.2092,1639234438.45745,1857548605.2293198,1953830100.8271198,1993506964.63619,2085837651.37888,2236478722.77419,2266044889.30128,1935838180.5514398,2051363822.37508,2160776090.57166,2185888781.6792803,2124286131.7499301,1852281878.50785,1807146511.58832,1663147116.55064,1665570658.39514,1702708576.18979,2009519899.2130198,2428683452.66146,2808365220.1208897,3723579730.00745,4288732029.09405,5210535300.03779,4543450126.31854,5449704672.79421,6125692636.69511,6291886443.6653,6779063084.48026,6706745148.47241,6320656252.72711,6566133689.649879,7062598875.43913,7619664385.22879
Mauritius,205522142.913615,231154788.48101097,289846577.430371,363168702.58035696,603431827.070962,606530347.543782,753378073.830956,881363832.152735,1086538886.2393,1296031259.4974,1211119203.94456,1222460908.6154401,1153991736.4814,1166697025.39514,1113489495.97039,1151550198.19946,1565443222.0787199,1959005504.95475,2214048711.81692,2264069383.20368,2735082565.2382603,2929774751.0085,3412657125.79615,3451922039.37834,3769173207.8409705,4272660904.1593,4673767108.11935,4425877247.2991295,4407170659.09768,4535540924.28375,4869255454.08859,4817388282.434239,5055097840.09746,6073442659.1067295,6869358257.53025,6775278499.1078,7028810754.78164,8150150144.15635,9990356849.294909,9128843109.15588,10003670690.3497,11518413429.9684,11668696526.2252,12129658758.3123,12803438964.9577,11692287066.381,12232469391.7458,13259348213.9772,14220327720.0603
Mexico,45224639954.7754,49880704000.0,57486262050.8879,70329598564.8796,91585939724.6983,111979640000.0,113087615919.881,104243414664.312,130634588966.35901,171154246482.935,237095042675.48602,304282590794.014,211468273122.23898,181228234648.821,213771224536.347,224592621150.987,157578499472.452,170749832188.40802,209101243321.36,254582900479.286,299944292310.87897,359018555772.372,415144609779.858,500733386969.942,527810631731.24896,360072506961.29297,410972976953.229,500416010941.521,526499723362.144,600233031001.064,707909864021.779,756702925694.04,772109710670.8729,729335024013.227,782242912348.374,877476892365.266,975383402912.588,1052697085016.35,1109987401386.38,900047015737.995,1057800597973.65,1180487226406.78,1201093787127.42,1274443916251.64,1314568912202.04,1170567081952.18,1077830350544.52,1158229075168.79,1223400956385.01
Micronesia (Federated States of),21089254.0,23101290.0,26619824.0,36928568.0,48884465.0,48909927.0,49645931.0,50168092.0,56903692.0,63917856.0,68070677.0,81100000.0,84900000.0,89200000.0,89800000.0,108100000.0,119000000.0,124200000.0,137300000.0,144500000.0,157900000.0,175900000.0,189100000.0,206600000.0,213700000.0,221853824.0,218719070.0,206731873.0,219578627.0,220570491.0,233186891.0,239906225.0,241473786.0,244921665.0,240564000.0,250644000.0,253372000.0,256700000.0,263100000.0,280200000.0,296800000.0,310700000.0,326400000.0,316100000.0,317900000.0,315100000.0,331400000.0,362600000.0,371302400.0
Monaco,284079843.085958,317703620.60119396,389612339.284009,506147661.784655,546474631.711378,690475495.693841,712212766.667259,784799381.693261,969232928.403232,1174615120.76723,1341865873.2901099,1177928561.48349,1119263307.84728,1071659195.92218,1015946619.73274,1058936768.0585699,1477345987.77471,1789699304.59879,1952065778.7917,1964661310.1943603,2432303951.238,2432784114.17417,2686740964.7478104,2537028974.1044197,2673330652.0516,3070362462.7975197,3079025563.44129,2786019877.45276,2881551064.4837604,2861395998.33758,2610023082.71675,2636284078.88967,2861727395.8442802,3524794777.10133,4051499372.3342795,4202975923.99144,4582712172.357671,5868093274.70873,6476758150.26111,5452402868.8254,5362349543.9971,6080728934.77001,5743134110.16845,6553688631.789061,7059916440.683929,6259130741.32489,6467950641.75988,6431274937.64707,7188470101.176471
Mongolia,198218461.98651,218027209.07291898,235660180.234869,270712961.643181,307525713.839751,357890597.420969,392327627.59119904,449146251.83938605,516887293.63170594,583641918.356892,677364056.3214519,803563313.765553,924290363.0393519,1016126541.0678,1115045832.21662,1215636662.3550699,1357015863.32162,1439821065.1029,1566703869.4807,1696185313.87896,1715398578.54356,1609425561.68874,1489761145.8457,1479258524.66238,1545597222.21542,1677609792.0225,1600905177.7305,1431165141.47666,1320021820.21737,1232520351.5250301,1318230550.6068099,1470240370.27232,1619300885.30951,1849734483.8023899,2309762218.0043397,2925959124.0465198,3958584962.08425,4910467662.0665,6520097349.84705,5314958098.60307,7189483179.6825905,10409826296.1283,12292756227.9939,12582094620.643,12226539815.7332,11749628125.1969,11186750549.6747,11433635702.1815,13009574877.6796
Montenegro,,,,,,,,,,,,,,,,,,,,,2147133266.1255398,1754038415.68364,1481154280.88258,819893103.628116,845878973.8461269,1214899546.10398,873897112.023069,846325747.9098951,858900432.027719,836590408.373592,991261111.0641919,1170035124.5179,1292543662.66111,1720707104.0338,2093201051.69706,2278756868.37785,2721763720.12892,3680522831.0892897,4545842915.967589,4159079832.1618795,4138958868.2954,4538508593.10448,4087788970.9289103,4464527660.34507,4587712602.8581705,4053084542.4613295,4373945079.949511,4856612345.76471,5506944403.30196
Montserrat,7791209.01240005,8998844.6366379,10425106.597246699,11608323.166143598,12707727.5251669,14384632.1946573,12595102.0603295,13880975.5555556,15875461.8518518,19204793.703703698,28314703.333333302,33294153.333333302,36825668.148148105,39104610.0,41710102.962963,43602254.444444396,46271958.888888896,50057624.074074104,56661724.0740741,63687848.1481481,75416272.5925926,64346945.55555551,67354528.88888891,67147859.25925921,73122220.3703704,68847081.11111109,54922700.7407407,44006470.370370395,39293374.444444396,37029421.85185179,35940740.7407407,35933333.33333329,39833333.33333329,41300000.0,44088888.888888896,48874074.074074104,51607407.407407396,54070370.370370395,57403703.7037037,59403703.7037037,55511111.1111111,63700000.0,63440740.7407407,59485185.1851852,58955555.555555604,61381481.48148149,62837037.037037,59959259.2592593,63678810.0
Morocco,4644867410.10052,4970747249.563789,5969547338.88954,7327133333.34535,9011698025.52654,10548745501.015999,11253900173.2179,12973193373.1435,15540255107.1546,18681228371.7726,22097089255.4081,17939504560.6162,18109357740.7538,16368176855.0394,14970417672.8638,15111218362.588999,19896939570.4083,21958663936.5491,25922784141.3545,26824568710.4523,30319697279.7981,32682604987.3945,33403918960.2799,31467877344.5167,35636256682.077,38727702380.0767,43017354444.0695,39231483632.4564,42052867951.8683,41750594417.6363,38900804385.5006,39639357708.214,42468910881.1844,52351222749.8725,59838117182.4591,62544742027.5033,68971576353.3213,79040973267.6893,92506959385.5742,92897320375.8176,93217221947.0183,101370787558.52199,98265835438.4038,106825600094.157,110080768153.408,101179307796.08301,103311901731.43599,109714324352.63199,117921363987.369
Mozambique,3961834743.86425,4410726913.20129,4938016763.162621,5814665261.70005,6080679453.695889,6295700110.801999,5733165213.554271,5803075450.7878,6063913133.33333,6375384800.0,6275746853.80514,6047136225.4063,6349841632.523379,5903568527.581921,6694870148.61195,8874566897.22252,10768210649.5557,3819768645.44145,3254581966.58818,3517035246.71673,3860827247.4124703,3574644214.6650205,2559163055.3021398,2674913566.11324,2748465310.57341,2816681919.66166,3859393190.21583,4629832607.06164,5337314800.09825,5807469659.97818,5494153466.31861,5220855991.61726,5510657281.02664,6130367634.162721,7482353826.26166,8459278941.666141,9103566571.038591,10258592462.6309,12589349125.5883,11950681549.9184,11121166317.1992,14381552176.866001,16350814266.3942,16974314401.9845,17716091465.7811,15950978853.1729,11936993385.2314,13219079579.6282,14716757211.3584
Myanmar,2692443371.9463396,2757344819.19836,2553790983.24657,3320928825.08799,3979030640.73112,3680146766.15851,4089484413.60735,4190695527.2754,4677692288.09247,5365087985.02192,5905225822.72725,5938674077.5296,6072235506.08395,6258892315.18997,6454963735.7545395,6606524009.72923,4991073713.41226,4909610480.01981,4505772789.46673,4855443524.80643,5179093396.74688,5319402112.036261,5966242374.13781,6476462375.11555,7109408129.05853,7762803260.99882,8414235878.57872,9043065554.61977,5925855360.439711,6575623035.90557,7275325970.78732,7633917594.21686,10369133640.553001,9924908038.585209,10253849223.5294,11930828613.0442,13851581917.8082,18232525294.6155,25864444149.5244,32934812583.5054,41444923052.8784,57888477654.8534,61013748262.0836,62139526379.5963,66299763433.4972,62543490877.5575,64589898303.8301,66490513591.635994,72744987930.4661
Namibia,605128249.083921,676103456.4653441,677273580.427351,858521041.041464,1048790564.2951199,1118543627.2653198,1073800790.91626,1193853053.6118698,1375598839.5538301,1699547925.09307,2421991155.13075,2246811296.3182,2116038517.76185,2293990996.83466,1947997596.03668,1605929720.5455198,1806198030.27597,2296341239.33793,2491447951.20229,2531541669.5342803,2785742086.6179104,2992634214.85778,3424716523.20568,3218434947.4391103,3636647709.55264,3942494498.7503705,3945295662.30858,4102682851.02198,3826538597.01194,3818964345.84426,3833978053.6358104,3476460182.6131897,3275655390.1621103,4811962750.64859,6480449278.9711,7121360216.710521,7834986735.703879,8740909017.630741,8486697951.514041,8876218195.123909,11282158756.1857,12409574913.3708,13016322638.9018,12717848367.0885,12786130350.3581,11650637796.3173,11286164656.9053,13566192142.5835,14518593446.271002
Nauru,15348249.4975617,16836296.8017058,19837442.2748754,25687471.5800337,33416569.079145696,33584875.7674607,34116149.394469,34151781.1483955,37011986.1227498,38188129.339625895,41906869.9278905,44687771.027381,42460540.78428479,40728537.0323288,40088938.708856,33043153.315376896,33338726.777257,37080009.522609204,43082269.6937932,45583798.786965005,49240678.918705106,45542527.232917495,42651895.1907553,36808648.40604939,36687950.595290005,34855302.5964905,33747505.6017988,30924694.5924683,23998442.0430595,24577401.8516726,21716446.4835114,19036854.2121113,19063036.435872197,24101092.5273078,27622673.979271997,26293013.476155803,25392074.096981898,23111568.545004603,41545797.8182794,54243181.2327354,59277212.0106776,87909824.60027601,120537585.18004599,118178364.475466,132826895.34988798,104353153.13915,120488597.271052,133793883.414303,126715444.452593
Nepal,1040760767.3543,1060939329.98044,1230799316.54321,1144162553.56772,1457682045.59258,1616818497.8730302,1493848444.16,1484057785.2,1749146233.26865,1987385687.8333302,2089013873.3333302,2374579868.60965,2511868657.66225,2491862427.1465697,2569210292.2150803,2740969753.08157,2818322675.87921,3142208817.38533,3545091542.66453,3524780268.4312797,3780186252.3054204,3468572521.05758,3756770669.63188,3787172382.0757704,4330701346.05615,4534418924.24408,4713497173.04233,5191233801.555571,4895254796.42058,5380887240.51713,5730380115.03934,5890906179.84836,5899626934.4555,6464691914.34796,7285500155.890309,8258829299.050691,8990152614.47151,10958769835.637,11692061094.5591,12739825873.1768,16280802529.7505,18467306133.4774,17927227199.8122,18227220589.2896,19738004136.0717,20801203122.3688,20982333290.4996,25587453463.1708,27830396106.181
Netherlands,38165079668.4967,44579637545.7181,54706271700.3765,72268379711.3657,85467497092.0781,100644061199.481,109808656391.971,128274400980.32301,156893580662.889,179673484657.594,195159012521.29602,164138218695.51,158481135134.115,153440080233.13,143909005420.30402,143847196331.061,200866996688.76,245040290585.62698,261900459753.492,258323626721.705,318327698511.176,327493478838.164,362982325156.77795,353546671493.635,379140468744.01,452286986032.823,450474537512.454,416790293189.83295,438018541028.455,446885585790.798,416442466339.24,431209564120.23206,471635418512.98206,578770006047.547,657200151484.11,685075610605.3821,733303295423.54,847438025012.403,948032773653.736,868024955020.897,846554894931.0841,904085980796.018,838971306990.9059,876923518850.405,890981311077.658,765264949780.999,783528181704.567,833869641687.06,914104847814.1171
New Caledonia,378313610.55774903,436828282.064403,509395017.95749503,544464887.626297,643721400.080709,816652156.6095951,798313552.67267,837620086.5080299,846004701.619246,1047225696.32117,1182463924.54251,974628707.8258519,904599891.3513461,823857891.0551901,796066180.411445,854820851.004996,1201321570.79401,1488093157.82149,2072775433.8262,2185082976.13124,2529440436.61684,2653780638.9930396,2923883445.4794803,2822331246.2165604,3038728409.29007,3628440670.94257,3606968486.9001102,3543106585.21234,3556304647.01,3646464020.11562,3411540287.33402,3294852702.38201,3722480519.5537796,4904335297.38751,5884445335.53198,6236147011.85411,6972959601.682071,8808266121.32547,9031073512.762291,8669544317.351679,9355222390.27466,10337902024.4224,9659704419.71353,10148497701.4138,10620889853.5002,8772367398.9001,9001879602.31923,9458750913.29176,10173501559.7568
New Zealand,6496865680.27813,7937704850.5151205,9657216000.0,12704731200.6174,14261899749.3906,13824222272.1225,13904026140.9019,15206078653.1264,18466962198.6852,20997391443.5552,23364631647.1252,25180539487.8408,25083138975.6304,24888872079.1985,23947947635.8072,24107770570.1921,30291755401.7664,38456571589.5908,46270939099.1117,44634198122.3755,45440191225.8059,43833503908.4865,42061097061.5223,45641389596.4003,53564090984.1063,63151436139.8451,69492506946.6044,69302139781.4211,57180274401.3,59921764995.7151,54443379764.888,54109071953.3817,62520383453.6652,83910383616.5668,102445760409.544,114720865366.595,111612047263.89099,137318587186.045,133277167992.01,121340342935.75801,146583831538.331,168461998741.295,176192886551.397,190784384693.441,200834001603.85,177467529071.288,188223664746.524,205415864857.98398,207920613961.749
Nicaragua,1140262841.9772,1213657366.2523,1293344097.62706,1605713038.51669,2233141957.7923603,2335230906.99383,2713235030.1269603,3288788541.96273,3143846003.36271,2249960688.7295604,2705665742.2111897,3120813753.87291,3286409119.32388,3572761913.97272,3643554843.4939795,3605411852.6185,3647271031.7792797,3705055029.6973,3357505530.42066,3428491092.5436897,3554967505.1698,3653862334.59625,3874553066.4,4133618241.9723396,3848588179.90815,4118083964.7432103,4293734930.59096,4375338783.174721,4619894994.25906,4839838056.69285,5092553708.3305,5333911402.47021,5206313233.00968,5304485890.38735,5773621220.83344,6300251490.5641,6763672214.69077,7423374948.57765,8496967421.05026,8298702543.4165,8758602360.56378,9774329500.29143,10532017440.077,10982988173.2278,11880438655.2561,12756696289.6229,13286093197.4821,13843586679.3929,13117859221.5357
Niger,568769556.026173,609508009.618938,764270485.748816,814620554.500575,935554180.0952369,1191526605.8059402,1410077036.63683,1665052296.34908,2254214604.75527,2951091099.96678,3594447511.10615,3134891027.14096,2857646127.00228,2553892328.29741,2069259331.5161102,2039985658.57145,2638253945.8881397,3052110891.55483,3172584499.70466,2960907660.6040397,3515059974.44778,3336198803.58838,3466065160.93602,3182039102.21458,1967927344.7311802,2380420589.9628,2548522657.3246603,2346769858.60012,2681366042.06698,2637868289.3385897,2301394250.89253,2506122611.16669,2857839325.82135,3518751998.0503,3860410911.98133,4489377860.59679,4859457775.59484,5708050351.327121,7200261943.407259,7191946473.6743,7620316108.84924,8540552860.175991,9250855325.32959,10217942434.6486,10966548258.4933,9659340275.57522,10287513052.5917,11170054786.5596,12820995119.3772
Nigeria,29387650368.8949,34092545940.3596,41458899352.4178,47633745850.9849,77128915025.2165,98080029480.5995,119638336795.635,139210441181.72302,155339754307.996,187977487264.547,243850991734.113,225528021306.345,221321141710.075,219144149580.02,216370854861.17,210154456240.76,112921378984.982,60925781756.7521,69565273402.7875,56330724748.2768,61535970792.6504,59544904627.7349,52376403673.5136,56974940662.9837,49485505034.1507,50486420060.6971,53568001866.75,56092183699.9103,58187699619.9005,59372613485.9175,69448734169.385,74030397750.1287,95385852281.9839,104911988427.505,136385953664.621,176134042426.36398,236104043605.60898,275625666711.893,337035465291.93896,291880122651.791,363359825763.366,410334556936.367,459375974637.11206,514966205495.673,568498788217.54,494582603948.976,404649125398.829,375769719405.08,421821319412.651
Norway,12814194863.3018,14583103533.0351,17358481291.4162,22534123432.1493,27145652980.0117,32877543120.2524,35942160908.9942,41508030438.9045,46523534750.6364,53132594368.123,64439056747.6556,63596562434.4007,62646871991.5681,61627522382.59599,62058271862.7546,65416626280.899,78692809868.2735,94230754959.2205,101900521458.03699,102633789557.535,119790885939.116,121871665528.423,130838022522.86,120578577004.107,127131746332.934,152030652228.016,163519897878.102,161356612878.694,154163415383.3,162285054630.802,171246320609.039,173973105615.995,195524704853.10898,228857968094.197,264510322660.403,308884284051.222,345579573804.574,400939380153.54,462250000000.0,386188338192.42,428757038466.841,498283438454.281,509506317146.541,522761531914.894,498410050251.25604,385801550067.169,368819929542.194,398393955268.99,434166615431.909
Oman,268409418.448238,315323809.179731,384188039.24243796,505851170.873749,1723549414.37044,2195592765.47653,2680975809.73068,2870460135.69907,2870763308.83255,3910653282.8913,6256014459.33994,7551882717.28976,7942132038.049021,8397088880.709579,9254100984.67961,10280627287.5983,8138146051.8528,8532893253.576071,8293439321.19636,9268487498.04941,11556031284.7854,11216011846.553999,12314773602.0806,12355925807.2557,12775839352.0915,13650077267.5568,15108709148.3577,15662333329.8093,13996914686.5859,15593456223.6246,19507452507.1521,19452000475.9428,20142756174.2523,21633708221.0663,24763713001.3004,31081991724.3173,37215779656.697,42085379490.2471,60905452457.7373,48388363516.2549,56913065778.9337,67872692582.5748,76511059934.9805,78555637365.4096,68399663321.1964,65480507170.3511,70598026283.485,79276747591.6775,92111474026.0078
Pakistan,13139261767.6918,13975754331.8792,8251877545.70197,8848524430.22112,11660558124.4444,14715396176.5657,17254057789.0909,19819587047.0707,23338322130.202003,25797571982.7273,30994277553.5354,36820056616.0606,35851006582.0155,36399712132.2764,39160686647.129,38840362264.9399,40497845024.7234,43113077982.6195,49155354318.0946,49100245565.6945,51666173855.7057,55973297636.0705,62958367556.2562,62134067175.7694,66919638535.6125,77266091761.2971,76999762382.4687,77394422577.3673,77886383085.1487,77779555707.8101,76865936391.0092,73268805040.7499,80353156003.4223,90990621088.6735,104351933421.812,117708404551.716,136319529009.935,152124000285.98,151087475340.172,161537631709.888,174507923710.715,211671575683.371,214641658203.278,220268616257.939,248949386617.395,267035292423.797,277521027410.761,303091943221.771,282345609676.523
