Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Montenegro,10.0,10.4,10.8,11.2,11.6,12.0,11.8,11.6,11.4,11.2,11.0,10.6,10.2,9.8,9.4,9.0,8.8,8.6,8.4,8.2,8.0,7.0,8.0,7.0,7.0
Morocco,317.0,305.0,293.0,281.0,269.0,257.0,249.8,242.6,235.4,228.2,221.0,214.8,208.6,202.4,196.2,190.0,182.6,175.2,167.8,160.4,153.0,144.0,137.0,131.0,126.0
Mozambique,1390.0,1342.0,1294.0,1246.0,1198.0,1150.0,1103.0,1056.0,1009.0,962.0,915.0,884.4,853.8,823.2,792.6,762.0,733.4,704.8,676.2,647.6,619.0,596.0,563.0,528.0,506.0
Myanmar,453.0,437.6,422.2,406.8,391.4,376.0,362.4,348.8,335.2,321.6,308.0,296.0,284.0,272.0,260.0,248.0,239.4,230.8,222.2,213.6,205.0,201.0,195.0,189.0,184.0
Namibia,338.0,334.4,330.8,327.2,323.6,320.0,326.4,332.8,339.2,345.6,352.0,359.6,367.2,374.8,382.4,390.0,375.8,361.6,347.4,333.2,319.0,315.0,299.0,283.0,273.0
Nepal,901.0,852.8,804.6,756.4,708.2,660.0,637.6,615.2,592.8,570.4,548.0,527.2,506.4,485.6,464.8,444.0,425.0,406.0,387.0,368.0,349.0,328.0,308.0,291.0,275.0
Netherlands,12.0,12.2,12.4,12.6,12.8,13.0,13.2,13.4,13.6,13.8,14.0,13.4,12.8,12.2,11.6,11.0,10.4,9.8,9.2,8.6,8.0,8.0,7.0,7.0,7.0
New Zealand,18.0,17.4,16.8,16.2,15.6,15.0,14.4,13.8,13.2,12.6,12.0,12.4,12.8,13.2,13.6,14.0,13.8,13.6,13.4,13.2,13.0,12.0,12.0,12.0,11.0
Nicaragua,173.0,180.8,188.6,196.4,204.2,212.0,210.0,208.0,206.0,204.0,202.0,199.6,197.2,194.8,192.4,190.0,185.2,180.4,175.6,170.8,166.0,153.0,164.0,159.0,154.0
Niger,873.0,864.0,855.0,846.0,837.0,828.0,821.2,814.4,807.6,800.8,794.0,779.8,765.6,751.4,737.2,723.0,709.8,696.6,683.4,670.2,657.0,635.0,619.0,596.0,574.0
Nigeria,1350.0,1330.0,1310.0,1290.0,1270.0,1250.0,1234.0,1218.0,1202.0,1186.0,1170.0,1125.2,1080.4,1035.6,990.8,946.0,930.2,914.4,898.6,882.8,867.0,824.0,819.0,821.0,820.0
North Macedonia,14.0,13.8,13.6,13.4,13.2,13.0,12.8,12.6,12.4,12.2,12.0,11.6,11.2,10.8,10.4,10.0,9.6,9.2,8.8,8.4,8.0,7.0,8.0,8.0,8.0
Norway,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.6,6.4,6.2,6.0,6.0,5.0,5.0,5.0
Oman,30.0,28.0,26.0,24.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.6,19.2,18.8,18.4,18.0,18.0,18.0,18.0,18.0
Pakistan,431.0,417.4,403.8,390.2,376.6,363.0,351.6,340.2,328.8,317.4,306.0,294.6,283.2,271.8,260.4,249.0,241.4,233.8,226.2,218.6,211.0,204.0,197.0,190.0,184.0
"Palestine, State of",118.0,113.6,109.2,104.8,100.4,96.0,91.2,86.4,81.6,76.8,72.0,70.0,68.0,66.0,64.0,62.0,60.4,58.8,57.2,55.6,54.0,52.0,50.0,48.0,47.0
